Receptor,SV40,CRE,Row,Column,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm,UseforRSM
5,0.5,15,A,1,2909,4038,0.720406142,4878,3152,1.547588832,6370,3255,1.956989247,y
5,0.5,20,B,1,3086,4663,0.661805704,5039,4406,1.143667726,8845,4635,1.908306365,y
5,0.5,25,C,1,1632,3894,0.419106317,1724,3636,0.474147415,2118,4434,0.47767253,n
5,0.5,30,D,1,6140,3471,1.768942668,8319,3035,2.741021417,12768,3870,3.299224806,y
5,0.5,35,E,1,6183,2941,2.102346141,7756,2475,3.133737374,11453,3082,3.716093446,y
5,0.75,15,F,1,68,3885,0.017503218,100,3998,0.025012506,135,4257,0.031712474,y
5,0.75,20,G,1,1803,5220,0.345402299,1876,4667,0.401971288,2659,4486,0.592732947,y
5,0.75,25,H,1,3745,3370,1.111275964,4753,3167,1.500789391,8884,3473,2.558019004,y
5,0.75,30,A,2,5415,4084,1.325905975,9990,3956,2.525278059,12475,4052,3.078726555,y
5,0.75,35,B,2,5604,3805,1.472798949,9806,3455,2.838205499,12461,3870,3.219896641,y
5,1.25,15,C,2,103,5534,0.018612215,162,5689,0.028476006,211,6450,0.032713178,n
5,1.25,20,D,2,5692,4792,1.187813022,9024,4614,1.955786736,12718,5449,2.33400624,y
5,1.25,25,E,2,1325,4990,0.265531062,1588,5051,0.314393189,2043,5430,0.376243094,y
5,1.25,30,F,2,4923,3964,1.241927346,6633,4019,1.65041055,9495,4827,1.967060286,y
5,1.25,35,G,2,5469,4543,1.203830068,8495,3897,2.17988196,11953,4671,2.558980946,y
5,1.5,15,H,2,4036,4986,0.809466506,5607,4867,1.152044381,9814,5271,1.86188579,y
5,1.5,20,A,3,4664,5624,0.829302987,8584,5013,1.712347895,10159,4777,2.126648524,y
5,1.5,25,B,3,5686,5320,1.068796992,9304,5079,1.831856665,12912,5468,2.361375274,y
5,1.5,30,C,3,6060,4976,1.217845659,9868,4752,2.076599327,10904,5759,1.893384268,y
5,1.5,35,D,3,5676,5422,1.046846182,9244,5039,1.83449097,12025,5573,2.157724744,y
10,0.5,15,E,3,2791,3376,0.826718009,5121,3332,1.536914766,5991,3556,1.684758155,y
10,0.5,20,F,3,3189,3227,0.988224357,5378,2806,1.91660727,7341,3522,2.084327087,y
10,0.5,25,G,3,4460,3421,1.303712365,6553,3499,1.872820806,9746,3950,2.467341772,y
10,0.5,30,H,3,4592,3053,1.504094333,6909,2902,2.380771881,9881,3773,2.618870925,y
10,0.5,35,A,4,4825,3211,1.50264715,8155,3016,2.703912467,10222,3060,3.340522876,y
10,0.75,15,B,4,3159,3839,0.822870539,5455,3354,1.626416219,6956,3942,1.764586504,y
10,0.75,20,C,4,4054,3692,1.098049837,6541,3897,1.678470618,7722,4099,1.883874116,y
10,0.75,25,D,4,4414,3726,1.184648417,7572,3764,2.011689692,9343,4141,2.256218305,y
10,0.75,30,E,4,4817,3958,1.217028802,6880,3868,1.778697001,10192,4382,2.325878594,y
10,0.75,35,F,4,4906,3535,1.387835926,7396,3184,2.322864322,11918,3776,3.15625,y
10,1.25,15,G,4,3121,4620,0.675541126,5166,4422,1.168249661,7767,5201,1.49336666,y
10,1.25,20,H,4,3598,4239,0.848785091,5050,3633,1.390035783,7547,4412,1.710562103,y
10,1.25,25,A,5,4635,5013,0.92459605,7272,5327,1.365121081,9825,4533,2.167438782,y
10,1.25,30,B,5,4987,4638,1.075247952,8650,4331,1.997229277,11592,5075,2.284137931,y
10,1.25,35,C,5,5197,4008,1.296656687,8237,4293,1.918704868,10693,4818,2.219385637,y
10,1.5,15,D,5,3070,4967,0.618079324,4627,4797,0.964561184,6961,5456,1.275843109,y
10,1.5,20,E,5,4004,4665,0.858306538,5492,4801,1.143928348,9127,5493,1.66156927,y
10,1.5,25,F,5,4818,4769,1.010274691,6675,4823,1.383993365,9141,5573,1.640229679,y
10,1.5,30,G,5,5102,4797,1.063581405,6717,5596,1.200321658,10047,5679,1.769149498,y
10,1.5,35,H,5,5477,4424,1.238019892,8064,4395,1.834812287,10776,4720,2.283050847,y
15,0.5,15,A,6,1875,3225,0.581395349,3505,2929,1.196654148,3985,3014,1.322163238,y
15,0.5,20,B,6,3824,3346,1.142857143,6575,3271,2.010088658,7986,3568,2.2382287,y
15,0.5,25,C,6,4138,3216,1.286691542,6395,3028,2.111955086,8053,3594,2.240678909,y
15,0.5,30,D,6,4298,2714,1.583640383,7485,3121,2.398269785,9148,3543,2.581992662,y
15,0.5,35,E,6,4458,2641,1.687996971,6546,3036,2.156126482,9299,3455,2.69146165,y
15,0.75,15,F,6,2852,3186,0.895166353,3833,3330,1.151051051,6274,4132,1.51839303,y
15,0.75,20,G,6,3196,3010,1.06179402,4707,3556,1.32367829,5932,4076,1.455348381,y
15,0.75,25,H,6,3415,3028,1.127807133,5404,3177,1.700975763,7415,3827,1.937548994,y
15,0.75,30,A,7,3471,4306,0.806084533,6476,3471,1.865744742,8849,3577,2.473860777,y
15,0.75,35,B,7,5033,3597,1.399221574,8802,3230,2.725077399,10818,3916,2.762512768,y
15,1.25,15,C,7,2330,3934,0.592272496,3725,4197,0.887538718,5296,4434,1.194406856,y
15,1.25,20,D,7,3304,3867,0.854409103,4872,3968,1.227822581,6420,4609,1.392926882,y
15,1.25,25,E,7,3652,4164,0.877041306,5210,4474,1.164506035,7812,4684,1.667805295,y
15,1.25,30,F,7,4669,4005,1.165792759,6678,3968,1.68296371,9459,4999,1.892178436,y
15,1.25,35,G,7,4959,3888,1.275462963,6091,3858,1.578797304,9610,4897,1.962425975,y
15,1.5,15,H,7,2253,3758,0.599521022,3263,4220,0.773222749,4434,4521,0.98075647,y
15,1.5,20,A,8,2935,5532,0.53054953,4775,5271,0.905900209,7303,4687,1.558139535,y
15,1.5,25,B,8,3869,4653,0.831506555,5256,4678,1.123557076,8243,5046,1.633571145,y
15,1.5,30,C,8,4145,4477,0.925843199,5825,4607,1.264380291,8360,5008,1.669329073,y
15,1.5,35,D,8,3741,4151,0.90122862,5282,4282,1.233535731,7948,4692,1.693947144,y
5,5,10,E,8,89,7340,0.012125341,128,7553,0.016946909,203,8185,0.024801466,n
5,5,10,F,8,64,7430,0.008613728,101,7530,0.013413015,163,8219,0.019832096,n
5,5,10,G,8,68,7324,0.009284544,80,6897,0.011599246,129,8744,0.014752973,n
5,5,10,H,8,59,6862,0.008598076,69,5644,0.012225372,112,7417,0.015100445,n
5,0.5,15,,,3004,3778,0.795129698,5854,3562,1.643458731,8094,4083,1.982365907,y
5,0.5,20,,,2776,4186,0.663162924,4932,4212,1.170940171,8823,5134,1.718543046,y
5,0.5,25,,,1513,3426,0.441622884,1621,3625,0.447172414,1752,4878,0.359163592,n
5,0.5,30,,,5230,3066,1.70580561,8588,3116,2.756097561,13405,4134,3.242622158,y
5,0.5,35,,,5578,2460,2.267479675,8989,2690,3.341635688,14304,3691,3.875372528,y
5,0.75,15,,,79,3672,0.021514161,115,3863,0.029769609,179,4834,0.037029375,y
5,0.75,20,,,1846,4141,0.445786042,1867,3988,0.468154463,2696,5060,0.532806324,y
5,0.75,25,,,4093,3095,1.322455574,6600,3182,2.07416719,9782,3782,2.586462189,y
5,0.75,30,,,5707,3908,1.460337769,10173,3689,2.757657902,13914,4275,3.254736842,y
5,0.75,35,,,5810,3438,1.689936009,10302,3315,3.107692308,15086,3889,3.87914631,y
5,1.25,15,,,91,5190,0.017533719,181,4883,0.037067377,243,5893,0.041235364,n
5,1.25,20,,,5640,4636,1.216566005,9426,4780,1.971966527,14765,5620,2.627224199,y
5,1.25,25,,,1461,4786,0.305265357,1702,4800,0.354583333,1852,5882,0.314858892,y
5,1.25,30,,,5236,3595,1.456467316,8236,4062,2.027572624,11063,4801,2.304311602,y
5,1.25,35,,,6704,3964,1.691220989,8956,3964,2.259334006,12113,5136,2.358450156,y
5,1.5,15,,,4648,4104,1.132553606,6364,4565,1.394085433,10710,4902,2.184822521,y
5,1.5,20,,,4662,5773,0.807552399,7815,5105,1.530852106,10450,5176,2.018933539,y
5,1.5,25,,,4482,5355,0.83697479,9789,5031,1.945736434,12645,5704,2.216865358,y
5,1.5,30,,,5879,5135,1.144888023,10119,4555,2.221514819,13569,5553,2.44354403,y
5,1.5,35,,,6037,4735,1.274973601,9709,4687,2.071474291,14169,5899,2.401932531,y
10,0.5,15,,,2836,2955,0.959729272,4934,2783,1.772906935,6430,3198,2.010631645,y
10,0.5,20,,,3683,2881,1.278375564,5970,2570,2.322957198,8051,3263,2.467361324,y
